clip	hook
01_cancer_boss	INSULTED THE BOSS, DIED INSTANTLY
02_corrupted_save	MY SAVE FILE JUST DIED
03_hand-enemies-middle-finger	THE GAME FLIPPED ME OFF
04_ancestor-spirit-chase	THIS BOSS HUNTED ME DOWN
05_deathbird-clutch-win	1 HP CLUTCH WIN
07_rennala-queen-betrayed-us	THE QUEEN BETRAYED US
08_rennala-goku-transform	SHE TURNED INTO GOKU?!
09_i-hate-this-boss-rennala	I HATE THIS BOSS
10_i-am-dead-meltdown	I AM DEAD I AM DEAD
11_red-wolf-hate	MY MOST HATED BOSS
12_red-wolf-scream-kill	FINALLY KILLED THIS DOG
a01_walked-into-this-shit-bell-hunter	I WALKED RIGHT INTO THIS
a02_instant-karma-erdtree-avatar	INSTANT KARMA
a03_these-guys-are-bullshit	THESE GUYS ARE INSANE
a04_india-not-for-beginners	INDIA IS NOT FOR BEGINNERS
a05_that-was-so-close	THAT WAS SO CLOSE
a06_i-hate-this-guy-round-two	ROUND TWO WITH THIS GUY
a07_stonedagger-troll-meltdown	I MESSED UP BAD
a08_dangerous-bear	THIS BEAR MADE ME RAGE
a09_godrick-the-grafted	GODRICK IS DOWN
a10_flying-dragon-agheel	GREATEST KILL EVER?
a11_margit-frantic-plea	BEGGING THE BOSS FOR MERCY
a12_margit-house-party-tilt	HE PLAYS LIKE IT'S A PARTY
a13_ancient-hero-of-zamor	FROZEN TO DEATH
a14_nights-cavalry-chase	BHAI PLEASE LET ME PASS
a15_bloodhound-knight-darriwil	I GOT TOO GREEDY
a16_tree-sentinel-close	MY HEART ALMOST STOPPED
a17_antlered-spirit-kill	WHAT A KILL
a18_falls-to-death-ledge	OF COURSE WE DIE LIKE THIS
a19_rennala-phase-2-magic	MAGIC SPAM INCOMING
a20_rennala-meteor-reaction	ELDEN RING x HARRY POTTER
a21_get-regged-renna	GET REGGED AUNTY
a22_patches-fake-surrender	HE FAKE SURRENDERED
a23_bell-bearing-hunter-reveal	THIS GUY IS HUGE
a24_nearly-one-shot-blade	ALMOST ONE-SHOT
a25_bloody-finger-assassin	CLUTCH INVADER KILL
